# unix time in nanoseconds, state label
1721674559753027043, START
1721678678531029722, IGNORE
1721678761646536298, A
1721681715858104180, IGNORE
1721682977380088425, B
1721685089177448377, IGNORE
1721685616923120307, C
1721687768353144414, IGNORE
1721687954841659240, D
1721690465536447551, IGNORE
1721690591658503460, E
1721694043234060459, IGNORE
1721694229466565002, F
1721695640462465451, IGNORE
1721695740177502292, G
1721697186386603828, IGNORE
1721697218450778779, H
1721700365183983371, IGNORE
1721700494987597109, I
1721702290536571141, IGNORE
1721702325680350811, J
1721703696185719397, IGNORE
1721703749988395859, K
1721705218952419473, IGNORE
1721706827990302404, STOP
